SQL Statement,Modified_Statement,Original,Error_Category,syntax_error,syntax_type
" SELECT s.fiberid, s.plate, s.mjd, s.run2d, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid ","SELECT s.fiberid, s.plate, s.mjd, s.run2d, s.class
FROM PhotoObj AS p
JOIN SpecObj AS s ON s.bestobjid = (SELECT objid FROM PhotoObj WHERE ra > 180)",YES,type-mismatch-nested,YES,type-mismatch-nested
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237648722307056074","select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237648722307056074",NO,NO Error,NO,
 SELECT TOP 10 * FROM Star WHERE skyVersion = 2 AND run = 109 AND rerun = 301 AND camcol = 4 AND field = 39 AND obj = 102, SELECT TOP 10 * FROM Star WHERE skyVersion = 2 AND run = 109 AND rerun = 301 AND camcol = 4 AND field = 39 AND obj = 102,NO,NO Error,NO,
"select a.objid,b.ra,b.dec,run,camcol,field into mydb.MyTable from myDB.sdssqso as a,photoobjall as b where a.objid=b.objid","SELECT a.objid, b.ra, b.dec, run, camcol, field 
INTO mydb.MyTable 
FROM myDB.sdssqso AS a, photoobjall AS b, myDB.sdssqso AS c 
WHERE a.objid = b.objid AND b.objid = c.objid; ",YES,alias-ambiguous,NO,
select count(*) from photoobjall where run=4895 and camcol=4 and field=164,"SELECT COUNT(*)
FROM photoobjall
WHERE run = 'four thousand eight hundred ninety-five' 
  AND camcol = 'four' 
  AND field = 'one hundred sixty-four'; ",YES,type-mismatch-condition,NO,
"select star.objID, star.rowc, star.colc, star.ra, star.dec, star.u, star.g, star.r, star.i, star.z, SpecObj.class, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate, star.b, star.NObserve, star.nDetect, star.nEdge, star.score, star.nChild, star.probPSF from star, SpecObj where star.objID = specObj.targetObjID and SpecObj.fiberID = 596 and SpecObj.mjd = 55359 and SpecObj.run2d = 'v5_10_0' and SpecObj.plate = 4055","SELECT star.objID, star.rowc, star.colc, star.ra, star.dec, star.u, star.g, star.r, star.i, star.z, 
       SpecObj.class, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate, 
       star.b, star.NObserve, star.nDetect, star.nEdge, star.score, star.nChild, star.probPSF
FROM star, SpecObj
WHERE star.objID = (SELECT targetObjID FROM SpecObj WHERE plate > 3000)
  AND SpecObj.fiberID = 596 
  AND SpecObj.mjd = 55359 
  AND SpecObj.run2d = 'v5_10_0' 
  AND SpecObj.plate = 4055;",YES,type-mismatch-nested,YES,type-mismatch-nested
" SELECT TOP 10000 s.plate, s.fiberid, s.mjd, s.ra, s.dec, s.z, s.zwarning, g.h_beta_flux, g.h_alpha_flux, g.h_beta_flux_err, g.h_alpha_flux_err, e.bptclass, e.lgm_tot_p50, i.lick_hd_a_sub, i.d4000_n_sub, i.lick_hd_a_sub_err, i.d4000_n_sub_err, p.petror90_r FROM GalSpecLine AS g, SpecObj AS s, GalSpecExtra AS e, GalSpecIndx AS i, galaxy AS p WHERE s.specobjid = g.specobjid AND s.specobjid = e.specobjid AND s.specobjid = i.specobjid AND s.bestobjid = p.objid AND bptclass = 1 AND s.z BETWEEN 0.04 and 0.1 AND h_alpha_flux > h_alpha_flux_err*5.0 AND h_beta_flux > h_beta_flux_err*5.0 AND d4000_n_sub > d4000_n_sub_err*5.0 AND h_alpha_flux_err > 0 AND h_beta_flux_err > 0 AND h_alpha_flux > 2.7*h_beta_flux AND lgm_tot_p50 > 0 AND sigma_balmer < 509.55 AND s.class = 'GALAXY' AND s.zwarning = 0 ","SELECT TOP 10000 
    s.plate, s.fiberid, s.mjd, s.ra, s.dec, s.z, s.zwarning,
    g.h_beta_flux, g.h_alpha_flux, g.h_beta_flux_err, g.h_alpha_flux_err,
    e.bptclass, e.lgm_tot_p50,
    i.lick_hd_a_sub, i.d4000_n_sub, i.lick_hd_a_sub_err, i.d4000_n_sub_err,
    p.petror90_r
FROM GalSpecLine AS g, SpecObj AS s, GalSpecExtra AS e, GalSpecIndx AS i, galaxy AS p
WHERE s.specobjid = g.specobjid 
  AND s.specobjid = e.specobjid 
  AND s.specobjid = i.specobjid 
  AND s.bestobjid = p.objid 
  AND bptclass = 'one'
  AND s.z BETWEEN 'low' and 'high'
  AND h_alpha_flux > h_alpha_flux_err * 'five' 
  AND h_beta_flux > h_beta_flux_err * 5.0 
  AND d4000_n_sub > d4000_n_sub_err * 5.0 
  AND h_alpha_flux_err > 0 
  AND h_beta_flux_err > 0 
  AND h_alpha_flux > 2.7 * h_beta_flux 
  AND lgm_tot_p50 > 'zero' 
  AND sigma_balmer < '509.55' 
  AND s.class = 'GALAXY' 
  AND s.zwarning = 0;",YES,type-mismatch-condition,NO,
select text from DBObjects where name='Galaxy',"SELECT name, MAX(text) 
FROM DBObjects 
WHERE name = 'Galaxy';",YES,aggr-attribute,YES,aggr-attribute
"select top 12000 p.objid, p.field, p.ra, p.dec, p.b, p.l, p.run, p.mjd, s.plate, s.fiberid, s.z, s.class from specobj as s join photoobj as p on p.objid=s.bestobjid where p.ra between 150 and 240 and p.dec between 0 and 3 and s.z between 0.005 and 0.2 and p.r between 13.5 and 17.7","SELECT TOP 12000 p.objid, p.field, p.ra, p.dec, p.b, p.l, p.run, p.mjd, s.plate, s.fiberid, s.z, s.class 
FROM specobj AS s 
JOIN photoobj AS p ON p.objid = s.bestobjid 
WHERE p.ra BETWEEN 150 AND 240 
AND p.dec BETWEEN 0 AND 3 
AND s.z BETWEEN 0.005 AND 0.2 
AND p.r BETWEEN 13.5 AND 17.7
HAVING AVG(p.ra) > 180 
AND p.field = 'High';",YES,aggr-having,YES,aggr-having
"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between 125.46676 and 125.74822) and (dec between 61.22044 and 61.44999)","SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, 
       modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, 
       psfMag_r, type_r, psfMagErr_r 
FROM PhotoPrimary 
WHERE (ra BETWEEN 125.46676 AND 125.74822) 
AND (dec BETWEEN 61.22044 AND 61.44999)
HAVING AVG(modelMag_r) > 18.5;",YES,aggr-having,YES,aggr-having
" SELECT top 20 specObjID, fiberID, mjd, plate, run2d, ra, dec FROM SpecObj WHERE run2d='v5_13_2' AND ra BETWEEN 200 AND 220","SELECT TOP 20 specObjID, fiberID, mjd, plate, run2d, ra, dec
FROM SpecObj
WHERE run2d = 'v5_13_2' 
  AND ra = (SELECT ra FROM SpecObj WHERE dec BETWEEN 30 AND 40) ",YES,type-mismatch-nested,YES,type-mismatch-nested
 SELECT top 20 specObjID FROM SpecObj WHERE run2d='NOnexistent',"SELECT TOP 20 specObjID
FROM SpecObj
WHERE run2d = (SELECT run2d FROM SpecObj WHERE plate > 4000); ",YES,type-mismatch-nested,YES,type-mismatch-nested
"SELECT top 1 SpecObj.specObjID, SpecObj.ra, SpecObj.dec, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate from SpecObj","SELECT TOP 1 SpecObj.specObjID, SpecObj.ra, SpecObj.dec, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate
FROM SpecObj
WHERE SpecObj.plate = (SELECT plate FROM SpecObj WHERE mjd > 55000); ",YES,type-mismatch-nested,YES,type-mismatch-nested
"select top 12000 objid, z,((z+1)*(z+1)-1)/((z+1)*(z+1)+1) as z_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792 as Kmsec_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792/67.4 as DistMpc_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792*3.26/67.4 as DistMly_zr, ra, dec, class,subclass, psfmag_r from specphoto where ra between 150 and 240 and dec between 0 and 3 and z between 0.005 and 0.2 and psfmag_r between 13.5 and 17.7","SELECT TOP 12000 objid, z,
    ((z+1)*(z+1)-1)/((z+1)*(z+1)+1) as z_zr, 
    ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792 as Kmsec_zr, 
    ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792/67.4 as DistMpc_zr, 
    ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792*3.26/67.4 as DistMly_zr, 
    ra, dec, class, subclass, psfmag_r
FROM specphoto
WHERE ra = (SELECT ra FROM specphoto WHERE dec > 50)
  AND dec BETWEEN 0 AND 3 
  AND z BETWEEN 0.005 AND 0.2 
  AND psfmag_r BETWEEN 13.5 AND 17.7;",YES,type-mismatch-nested,YES,type-mismatch-nested
select name from sysobjects where type='p' and category=0 order by name asc,"SELECT name
FROM sysobjects
WHERE type = 'p'
  AND category = (SELECT category FROM sysobjects WHERE type = 'u')
ORDER BY name ASC;",YES,type-mismatch-nested,NO,
"select name from sysobjects where xtype in (N'FN', N'IF', N'TF', N'FS', N'FT') order by name asc","select name from sysobjects where xtype in (N'FN', N'IF', N'TF', N'FS', N'FT') order by name asc",NO,NO Error,NO,
"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_g, type_g, psfMagErr_g FROM PhotoPrimary WHERE (ra between 198.27956 and 198.60239) and (dec between 6.74765 and 7.09409)","SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z,
       modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z,
       psfMag_g, type_g, psfMagErr_g
FROM PhotoPrimary
WHERE (ra between 198.27956 and 198.60239)
  AND (dec between 6.74765 and 7.09409)
  AND type = (SELECT type FROM PhotoPrimary WHERE ra > 200);  ",YES,type-mismatch-nested,YES,type-mismatch-nested
"SELECT TOP 1 rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN 125.427975 and 125.467975 AND dec BETWEEN 17.771767 and 17.811767 ","SELECT TOP 1 rerun, camcol, COUNT(field)
FROM PhotoObj 
WHERE ra BETWEEN 125.427975 AND 125.467975 
  AND dec BETWEEN 17.771767 AND 17.811767;",YES,aggr-attribute,YES,aggr-attribute
select dbo.fGetUrlFitsSpectrum(8255250786331940864) as url,SELECT dbo.fGetUrlFitsSpectrum((SELECT objID FROM PhotoObj WHERE dec > 0)) as url; ,YES,type-mismatch-nested,NO,
"select top 5000 p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(3,3,0.6) n  where p.objId=n.objId","select top 5000 p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(3,3,0.6) n  where psfm.objId=n.objId",YES,alias-undefined,YES,alias-undefined
select description from DataConstants where field='PhotoMode'  and [name]='',select description from DataConstants dc where dd.field='PhotoMode'  and dc.[name]='',YES,alias-undefined,YES,alias-undefined
"select name, type, description from DBObjects where  type in ('F','P') and access='U' and UPPER(name) like '%PhotoMode%'","SELECT name, type, description 
FROM DBObjects 
WHERE type IN ('F', 'P') 
AND access = 'U' 
AND UPPER(name) LIKE '%PhotoMode%'
HAVING COUNT(*) > 10;",YES,aggr-having,YES,aggr-having
select text from DBObjects where name='stellarMassPCAWiscBC03',select text from DBObjects dbo where ddd.name='stellarMassPCAWiscBC03',YES,alias-undefined,YES,alias-undefined
"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns('PhotoObj') ORDER BY [columnID]","select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns('PhotoObj') ORDER BY [columnID]",NO,NO Error,NO,
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1090 AND s.mjd=52903 AND s.fiberid=135)","SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1090 AND s.mjd=52903 AND s.fiberid=135)",NO,NO Error,YES,alias-ambiguous
drop table [MyTable_41],drop table [MyTable_41],NO,NO Error,NO,
"SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-55075'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
","SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, AVG(drp.z) as avg_drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-55075'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_;",YES,aggr-attribute,YES,aggr-attribute
"select top 20 ra,dec,class,z,zErr,zWarning,elodieBV into mydb.mytestv5 from specobj 
where class = 'QSO' ","SELECT TOP 20 ra, dec, class, z, zErr, zWarning, elodieBV
INTO mydb.mytestv5
FROM SpecObj
WHERE class = (SELECT class FROM SpecObj WHERE zErr > 0.2);  ",YES,type-mismatch-nested,YES,type-mismatch-nested
"CREATE TABLE upload ( up_id int, up_name varchar(32), up_ra float, up_dec float ) 
","CREATE TABLE upload ( up_id int, up_name varchar(32), up_ra float, up_dec char) ",YES,type-mismatch-condition,NO,
"INSERT INTO upload values ( 1, 'A1', 15.5, 0.5),( 2, 'A2', 14.5, 0.6),( 3, 'A3', 13.9, 0.8),( 4, 'A4', 197.614, 18.438)","INSERT INTO upload values ( 1, 'A1', 15.5, 0.5),( 2, 'A2', 14.5, 0.6),( 3, 'A3', 13.9, 0.8),( 4, 'A4', 197.614, 18.438)",NO,NO Error,NO,
"SELECT u.up_name as name, _x000D_
 p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,_x000D_
 dbo.fPhotoTypeN(p.type) as type,_x000D_
 p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z_x000D_
FROM #upload u_x000D_
 JOIN #x x ON x.up_id = u.up_id_x000D_
 JOIN PhotoTag p ON p.objID = x.objID_x000D_
ORDER by x.up_id_x000D_
','5000', @log=0, @filter=1","SELECT u.up_name as name,
    p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,
    dbo.fPhotoTypeN(type) as type, -- Ambiguity introduced here by removing the table alias 'p'
    modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z -- More ambiguity by removing the alias 'p'
FROM #upload u
JOIN #x x ON x.up_id = u.up_id
JOIN PhotoTag p ON p.objID = x.objID
ORDER BY x.up_id;",YES,alias-ambiguous,YES,alias-ambiguous
